Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product Origin Country,Product Material,Product Collection Id,Product Type Id,Product Discountable,Product External Id,Product Created At,Product Deleted At,Product Hs Code,Product Image 1,Product Image 2,Product Is Giftcard,Product Mid Code,Product Sales Channel 1,Product Tag 1,Product Tag 2,Product Updated At,Variant Id,Variant Title,Variant Sku,Variant Upc,Variant Ean,Variant Hs Code,Variant Mid Code,Variant Manage Inventory,Variant Allow Backorder,Variant Barcode,Variant Created At,Variant Deleted At,Variant Height,Variant Length,Variant Material,Variant Metadata,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Origin Country,Variant Price AUD,Variant Product Id,Variant Updated At,Variant Variant Rank,Variant Weight,Variant Width
,as-colour-wo-s-classic-tee-4026,AS Colour Wo's Classic Tee 4026,,"<p>Explore the AS Colour Women's Classic Tee, ideal for printing with its regular fit and heavy weight 220 GSM, 22-singles 100% combed cotton. Built to last with neck ribbing, side seams, shoulder-to-shoulder tape, and double needle hems, plus preshrunk fabric for minimal shrinkage.</p>",published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/567/images/20184/4026_WOS_CLASSIC_TEE_WHITE__38530.1753824851.386.513.jpg?c=1,,,,,BD,100% Combed Cotton,,,true,,,,6109.10.00.10,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/567/images/20184/4026_WOS_CLASSIC_TEE_WHITE__38530.1753824851.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/567/images/20189/4026_WOS_CLASSIC_TEE_WHITE_BACK__61432.1753824851.386.513.jpg?c=1,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,XS / White,4026-WHITE-F-XS,,,6109.10.00.10,,true,false,,,,,,,,Size,XS,Colour,White,BD,48,,,97,,
,as-colour-wo-s-box-tee-4030,AS Colour Wo's Box Tee 4030,,Relaxed Fit - 240 GSM,published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/1395/images/28714/4030_WOS_BOX_TEE_BLACK__96681.1765236352.386.513.jpg?c=1,,,,,VN,100% Carded Cotton,,,true,,,,6104.42.00.00,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/1395/images/28714/4030_WOS_BOX_TEE_BLACK__96681.1765236352.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/1395/images/28716/4030_WOS_BOX_TEE_BLACK_BACK__61993.1765236352.386.513.jpg?c=1,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,2XL / Black,4030-BLACK-K-2XL,,,6104.42.00.00,,true,false,,,,,,,,Size,2XL,Colour,Black,VN,54,,,0,,
,as-colour-wo-s-box-tee-4030,AS Colour Wo's Box Tee 4030,,Relaxed Fit - 240 GSM,published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/1395/images/28714/4030_WOS_BOX_TEE_BLACK__96681.1765236352.386.513.jpg?c=1,,,,,VN,100% Carded Cotton,,,true,,,,6104.42.00.00,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/1395/images/28714/4030_WOS_BOX_TEE_BLACK__96681.1765236352.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/1395/images/28716/4030_WOS_BOX_TEE_BLACK_BACK__61993.1765236352.386.513.jpg?c=1,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,L / Black,4030-BLACK-I-L,,,6104.42.00.00,,true,false,,,,,,,,Size,L,Colour,Black,VN,54,,,1,,
,as-colour-wo-s-box-tee-4030,AS Colour Wo's Box Tee 4030,,Relaxed Fit - 240 GSM,published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/1395/images/28714/4030_WOS_BOX_TEE_BLACK__96681.1765236352.386.513.jpg?c=1,,,,,VN,100% Carded Cotton,,,true,,,,6104.42.00.00,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/1395/images/28714/4030_WOS_BOX_TEE_BLACK__96681.1765236352.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/1395/images/28716/4030_WOS_BOX_TEE_BLACK_BACK__61993.1765236352.386.513.jpg?c=1,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,M / Black,4030-BLACK-H-M,,,6104.42.00.00,,true,false,,,,,,,,Size,M,Colour,Black,VN,54,,,2,,
,as-colour-wo-s-box-tee-4030,AS Colour Wo's Box Tee 4030,,Relaxed Fit - 240 GSM,published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/1395/images/28714/4030_WOS_BOX_TEE_BLACK__96681.1765236352.386.513.jpg?c=1,,,,,VN,100% Carded Cotton,,,true,,,,6104.42.00.00,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/1395/images/28714/4030_WOS_BOX_TEE_BLACK__96681.1765236352.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/1395/images/28716/4030_WOS_BOX_TEE_BLACK_BACK__61993.1765236352.386.513.jpg?c=1,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,S / Black,4030-BLACK-G-S,,,6104.42.00.00,,true,false,,,,,,,,Size,S,Colour,Black,VN,54,,,3,,
,as-colour-wo-s-box-tee-4030,AS Colour Wo's Box Tee 4030,,Relaxed Fit - 240 GSM,published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/1395/images/28714/4030_WOS_BOX_TEE_BLACK__96681.1765236352.386.513.jpg?c=1,,,,,VN,100% Carded Cotton,,,true,,,,6104.42.00.00,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/1395/images/28714/4030_WOS_BOX_TEE_BLACK__96681.1765236352.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/1395/images/28716/4030_WOS_BOX_TEE_BLACK_BACK__61993.1765236352.386.513.jpg?c=1,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,XL / Black,4030-BLACK-J-XL,,,6104.42.00.00,,true,false,,,,,,,,Size,XL,Colour,Black,VN,54,,,4,,
,as-colour-wo-s-box-tee-4030,AS Colour Wo's Box Tee 4030,,Relaxed Fit - 240 GSM,published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/1395/images/28714/4030_WOS_BOX_TEE_BLACK__96681.1765236352.386.513.jpg?c=1,,,,,VN,100% Carded Cotton,,,true,,,,6104.42.00.00,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/1395/images/28714/4030_WOS_BOX_TEE_BLACK__96681.1765236352.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/1395/images/28716/4030_WOS_BOX_TEE_BLACK_BACK__61993.1765236352.386.513.jpg?c=1,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,XS / Black,4030-BLACK-F-XS,,,6104.42.00.00,,true,false,,,,,,,,Size,XS,Colour,Black,VN,54,,,5,,
,as-colour-wo-s-box-tee-4030,AS Colour Wo's Box Tee 4030,,Relaxed Fit - 240 GSM,published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/1395/images/28719/4030_WOS_BOX_TEE_ECRU__09594.1765236352.386.513.jpg?c=1,,,,,VN,100% Carded Cotton,,,true,,,,6104.42.00.00,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/1395/images/28719/4030_WOS_BOX_TEE_ECRU__09594.1765236352.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/1395/images/28720/4030_WOS_BOX_TEE_ECRU_BACK__56106.1765236352.386.513.jpg?c=1,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,2XL / Ecru,4030-ECRU-K-2XL,,,6104.42.00.00,,true,false,,,,,,,,Size,2XL,Colour,Ecru,VN,54,,,6,,
,as-colour-wo-s-box-tee-4030,AS Colour Wo's Box Tee 4030,,Relaxed Fit - 240 GSM,published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/1395/images/28719/4030_WOS_BOX_TEE_ECRU__09594.1765236352.386.513.jpg?c=1,,,,,VN,100% Carded Cotton,,,true,,,,6104.42.00.00,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/1395/images/28719/4030_WOS_BOX_TEE_ECRU__09594.1765236352.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/1395/images/28720/4030_WOS_BOX_TEE_ECRU_BACK__56106.1765236352.386.513.jpg?c=1,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,L / Ecru,4030-ECRU-I-L,,,6104.42.00.00,,true,false,,,,,,,,Size,L,Colour,Ecru,VN,54,,,7,,
,as-colour-wo-s-box-tee-4030,AS Colour Wo's Box Tee 4030,,Relaxed Fit - 240 GSM,published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/1395/images/28719/4030_WOS_BOX_TEE_ECRU__09594.1765236352.386.513.jpg?c=1,,,,,VN,100% Carded Cotton,,,true,,,,6104.42.00.00,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/1395/images/28719/4030_WOS_BOX_TEE_ECRU__09594.1765236352.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/1395/images/28720/4030_WOS_BOX_TEE_ECRU_BACK__56106.1765236352.386.513.jpg?c=1,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,M / Ecru,4030-ECRU-H-M,,,6104.42.00.00,,true,false,,,,,,,,Size,M,Colour,Ecru,VN,54,,,8,,
