customerGroupId,STYLECODE,PRODUCT_NAME,COMPOSITION,FABRIC,SIZE_RANGE,COLOURS_COUNT,SHORT_DESCRIPTION,BOX_QTY,PRICE,BASE_SALE_PRICE,TIER_10_TO_49_PRICE,TIER_50_TO_99_PRICE,TIER_100_PLUS_PRICE,CATEGORY,CATEGORY_SORT,Unnamed: 12,Cost + GST,Times 1.5
3,1100,Stock Cap,80% Acrylic  20% Wool ,,,,High Profile - Flat Peak,72,6.95,14.42,12.98,11.54,10.82,CAPS/HATS,30300,,7.645,11.4675
3,1102,Stock Faded Trucker,100% Cotton Front & Peak  100% Recycled Polyester Mesh Back,,,,High Profile - Flat Peak,72,5.95,12.35,11.12,9.88,9.26,CAPS/HATS,30300,,6.545,9.8175
3,1103,Finn Five Panel Cap,100% Cotton,,,,Low Profile - Flat Peak,72,6.75,14.01,12.61,11.21,10.51,CAPS/HATS,30300,,7.425,11.1375
3,1104,Finn Nylon Cap,100% Recycled Nylon,,,,Low Profile - Flat Tonal Peak,72,6.95,14.42,12.98,11.54,10.82,CAPS/HATS,30300,,7.645,11.4675
3,1105,Finn TwoTone Nylon Cap,100% Recycled Nylon,,,,Low Profile - Contrast Panels,72,6.95,14.42,12.98,11.54,10.82,CAPS/HATS,30300,,7.645,11.4675
3,1106,Stock Flex Cap,97% Cotton  3% Spandex,,,,Flex Fit - Flat Peak,72,6.75,14.01,12.61,11.21,10.51,CAPS/HATS,30300,,7.425,11.1375
3,1107,Cuff Beanie,100% Acrylic,,,,Relaxed Fit,100,6.95,14.42,12.98,11.54,10.82,BEANIES,30500,,7.645,11.4675
3,1107F,Cuff Safety Beanie,100% Acrylic,,,,Mid Weight - Hi Vis,100,6.95,14.42,12.98,11.54,10.82,BEANIES,30500,,7.645,11.4675
3,1108,Stock Trucker Cap,100% Cotton Front & Peak  100% Polyester Mesh Back,,,,High Profile - Flat Peak,72,6.75,14.01,12.61,11.21,10.51,CAPS/HATS,30300,,7.425,11.1375
3,1110,Stock Contrast Trucker,100% Cotton Front & Peak  100% Polyester Mesh Back,,,,High Profile - Flat Peak,72,6.75,14.01,12.61,11.21,10.51,CAPS/HATS,30300,,7.425,11.1375
3,1114,Surf Cap,100% Quick Dry Nylon,,,,Unstructured - Flat Peak,72,6.75,14.01,12.61,11.21,10.51,CAPS/HATS,30300,,7.425,11.1375
3,1114F,Surf Safety Cap,100% Recycled Nylon,,,,Unstructured - Flat Peak,72,6.75,14.01,12.61,11.21,10.51,CAPS/HATS,30300,,7.425,11.1375
3,1115,Knit Beanie,50% Wool  50% Acrylic,,,,Fitted Style,100,9.75,20.24,18.22,16.19,15.18,BEANIES,30500,,10.725,16.0875
3,1117,Bucket Hat,100% Cotton,,,,100% Cotton,48,7.75,16.08,14.47,12.86,12.06,CAPS/HATS,30300,,8.525,12.7875
3,1117C,Camo Bucket Hat,100% Cotton,,,,100% Cotton,48,7.95,16.5,14.85,13.2,12.38,CAPS/HATS,30300,,8.745,13.1175
3,1119,Surf Cotton Cap,100% Cotton Twill,,,,Unstructured - Flat Peak,72,6.75,14.01,12.61,11.21,10.51,CAPS/HATS,30300,,7.425,11.1375
3,1119C,Surf Cotton Camo Cap,55% Cotton  45% Polyester,,,,Unstructured - Flat Peak,72,6.95,14.42,12.98,11.54,10.82,CAPS/HATS,30300,,7.645,11.4675
3,1120,Cable Beanie,100% Acrylic,,,,Fitted - Fisherman Style,100,7.5,15.57,14.01,12.46,11.68,BEANIES,30500,,8.25,12.375
3,1123,Surf Rope Cap,100% Nylon,,,,Unstructured - Flat Peak,72,6.75,14.01,12.61,11.21,10.51,CAPS/HATS,30300,,7.425,11.1375
3,1124,Pom Pom Beanie,100% Recycled Acrylic,,,,Double Layer Knit - 100% Recycled,50,7.5,15.57,14.01,12.46,11.68,BEANIES,30500,,8.25,12.375
3,1125,Gauge Beanie,50% Recycled Wool  50% Recycled Acrylic,,,,Longer Body - 100% Recycled,70,9.75,20.24,18.22,16.19,15.18,BEANIES,30500,,10.725,16.0875
3,1129,Surf Kids Cap,100% Nylon,,,,Unstructured - Flat Foam Peak,72,6.75,14.01,12.61,11.21,10.51,CAPS/HATS,30300,,7.425,11.1375
3,1130,Access Cap,100% Cotton,,,,Low Profile - Curved Peak,72,6.75,14.01,12.61,11.21,10.51,CAPS/HATS,30300,,7.425,11.1375
3,1131,Access Canvas Cap,100% Cotton Canvas,,,,Low Profile - Curved Peak,72,6.75,14.01,12.61,11.21,10.51,CAPS/HATS,30300,,7.425,11.1375
3,1132,Access Five Panel Cap,100% Cotton,,,,Low Profile - Curved Peak,72,6.75,14.01,12.61,11.21,10.51,CAPS/HATS,30300,,7.425,11.1375
3,1133,Access Active Cap,90% Nylon  10% Elastane,,,,Low Profile - Curved Peak,72,8.25,17.12,15.41,13.7,12.84,CAPS/HATS,30300,,9.075,13.6125
3,1134,Access Faded Cap,100% Cotton,,,,Low Profile - Curved Peak,72,7.25,15.05,13.55,12.04,11.29,CAPS/HATS,30300,,7.975,11.9625
3,1135,Access Cord Cap,100% Cotton,,,,Low Profile - Curved Peak,72,6.95,14.42,12.98,11.54,10.82,CAPS/HATS,30300,,7.645,11.4675
3,1138,Wo's Access Cap,100% Cotton,,,,Low Profile - Curved Peak,72,6.75,14.01,12.61,11.21,10.51,CAPS/HATS,30300,,7.425,11.1375
