customerGroupId,STYLECODE,PRODUCT_NAME,COMPOSITION,FABRIC,SIZE_RANGE,COLOURS_COUNT,SHORT_DESCRIPTION,BOX_QTY,PRICE,BASE_SALE_PRICE,TIER_10_TO_49_PRICE,TIER_50_TO_99_PRICE,TIER_100_PLUS_PRICE,CATEGORY,CATEGORY_SORT
3,1000,Parcel Tote,100% Cotton Canvas,320 GSM,,,Smaller Style,50,6.95,17.48,15.73,13.98,13.11,BAGS,41000
3,1001,Carrie Tote,100% Cotton Canvas,320 GSM,,,Large Style,50,7.95,20.0,18.0,16.0,15.0,BAGS,41000
3,1002,Shoulder Tote,100% Cotton Canvas,320 GSM,,,Wider Style,50,8.95,22.52,20.27,18.02,16.89,BAGS,41000
3,1003,Duffel Bag,100% Recycled Polyester  PVC Coating,400 GSM,,,Cylinder Duffel - Large Volume,20,30.75,77.36,69.62,61.89,58.02,BAGS,41000
3,1004,Canvas Duffel Bag,100% Cotton Canvas,400 GSM,,,Cylinder Duffel - Large Volume,20,34.5,86.79,78.11,69.43,65.09,BAGS,41000
3,1005,Gym Duffel Bag,100% Recycled Polyester,400 GSM,,,Cylinder Duffel - Mid Volume,20,26.95,67.8,61.02,54.24,50.85,BAGS,41000
3,1007,Basic Tote,100% Cotton,200 GSM,,,Large Style,80,6.95,17.48,15.73,13.98,13.11,BAGS,41000
3,1008,TwoTone Carrie Tote,100% Cotton Canvas,320 GSM,,,Large Style,50,12.75,32.08,28.87,25.66,24.06,BAGS,41000
3,1009,Escape Travel Bag,100% Polyester,400 GSM,,,Rectangular Duffel - Large Volume,12,51.95,130.69,117.62,104.55,98.02,BAGS,41000
3,1010,Recycled Camera Bag,100% Recycled Polyester,210 GSM,,,Tear-out pip label,100,10.75,27.04,24.34,21.63,20.28,BAGS,41000
3,1011,Recycled Phone Bag,100% Recycled Polyester,210 GSM,,,Tear-out pip label,100,9.75,24.53,22.08,19.62,18.4,BAGS,41000
3,1012,Carrie Denim Tote,100% Cotton,350 GSM,,,Large Style,50,12.75,32.08,28.87,25.66,24.06,BAGS,41000
3,1013,Recycled Waist Bag,100% Recycled Polyester,210 GSM,,,Tear-out pip label,60,17.5,44.03,39.63,35.22,33.02,BAGS,41000
3,1014,Waist Bag,100% Polyester  PU Coating,210 GSM,,,Small Style,60,11.25,28.3,25.47,22.64,21.22,BAGS,41000
3,1018,Backpack,100% Recycled Polyester,210 GSM,,,Tear-out pip label,10,26.95,67.8,61.02,54.24,50.85,BAGS,41000
3,1019,Recycled Pocket Waist Bag,100% Recycled Polyester,210 GSM,,,Tear-out pip label,40,20.5,51.57,46.41,41.26,38.68,BAGS,41000
3,1021,Grocery Bag,100% Recycled Polyester Rip-Stop,80 GSM,,,Tear-out pip label,350,7.25,18.24,16.42,14.59,13.68,BAGS,41000
3,1022,Recycled Toiletry Bag,100% Recycled Polyester,210 GSM,,,Tear-out pip label,52,13.95,35.09,31.58,28.07,26.32,BAGS,41000
