product_id,product_handle,product_title,product_status,flagged_variant_count,min_aud_across_variants,max_aud_across_variants
prod_01KPJQCCXX66PWF06XK96XXPYR,as-colour-parcel-tote-1000,AS Colour Parcel Tote 1000,published,3,0.27,0.27
prod_01KPJQCCXXAP6DRAYRFXVZN9PG,as-colour-duffel-bag-1003,AS Colour Duffel Bag 1003,draft,2,0.93,0.93
prod_01KPJQCCXXC4R0D5RE60NR6WFV,as-colour-shoulder-tote-1002,AS Colour Shoulder Tote 1002,published,2,0.33,0.33
prod_01KPJQCCXXFC720RC4DKV4H79X,as-colour-basic-tote-1007,AS Colour Basic Tote 1007,published,2,0.27,0.27
prod_01KPJQCCXXJRZQ15M9W3M1GFFV,as-colour-recycled-camera-bag-1010,AS Colour Recycled Camera Bag 1010,draft,1,0.38,0.38
prod_01KPJQCCXXKJ5BBF3WYJ12X4ZE,as-colour-escape-travel-bag-1009,AS Colour Escape Travel Bag 1009,draft,4,1.8,1.8
prod_01KPJQCCXXN9G3MFWPTVTG3B3H,as-colour-canvas-duffel-bag-1004,AS Colour Canvas Duffel Bag 1004,draft,1,0.93,0.93
prod_01KPJQCCXXSFN6BCQ0KC6XRQMJ,as-colour-two-tone-carrie-tote-1008,AS Colour Two-Tone Carrie Tote 1008,published,5,0.42,0.42
prod_01KPJQCCXXW0EQRE55G84F7F7Y,as-colour-carrie-tote-1001,AS Colour Carrie Tote 1001,published,11,0.3,0.3
prod_01KPJQCCXY2QDR8TYZQQPKQ503,as-colour-backpack-1018,AS Colour Backpack 1018,draft,1,0.93,0.93
prod_01KPJQCCXY88XYJMG775SM4C1N,as-colour-recycled-phone-bag-1011,AS Colour Recycled Phone Bag 1011,draft,1,0.33,0.33
prod_01KPJQCCXYDQWFD5D7KK25SS5K,as-colour-waist-bag-1014,AS Colour Waist Bag 1014,draft,1,0.45,0.45
prod_01KPJQCCXYGP49D9EYRF2K1CTP,as-colour-recycled-pocket-waist-bag-1019,AS Colour Recycled Pocket Waist Bag 1019,draft,1,0.68,0.68
prod_01KPJQCCXYH1NAAH50H9YT3RN8,as-colour-recycled-waist-bag-1013,AS Colour Recycled Waist Bag 1013,draft,1,0.6,0.6
prod_01KPJQCCXYQWBTRXTH3WDYGPSQ,as-colour-carrie-denim-tote-1012,AS Colour Carrie Denim Tote 1012,published,2,0.39,0.39
prod_01KPJQCCXZ4XW605QNFV0FWCET,as-colour-recycled-transit-bag-1026,AS Colour Recycled Transit Bag 1026,draft,1,0.45,0.45
prod_01KPJQCCXZ8QR836K48MKQ6NEN,as-colour-recycled-double-waist-bag-1025,AS Colour Recycled Double Waist Bag 1025,draft,1,0.68,0.68
prod_01KPJQCCXZ8W31KBPJCYQ83BC8,as-colour-recycled-rucksack-1028,AS Colour Recycled Rucksack 1028,draft,1,1.42,1.42
prod_01KPJQCCXZBEJFDA20Y0R7V0PE,as-colour-recycled-long-wallet-1034,AS Colour Recycled Long Wallet 1034,draft,1,0.45,0.45
prod_01KPJQCCXZD04FJCW7XFWA0BA7,as-colour-recycled-toiletry-bag-1022,AS Colour Recycled Toiletry Bag 1022,draft,1,0.38,0.38
prod_01KPJQCCXZMVEPEZVZ07877SMX,as-colour-recycled-travel-backpack-1030,AS Colour Recycled Travel Backpack 1030,draft,1,1.88,1.88
prod_01KPJQCCXZPTKEH1FJ9ARQ6BP0,as-colour-recycled-laptop-sleeve-1024,AS Colour Recycled Laptop Sleeve 1024,draft,1,0.6,0.6
prod_01KPJQCCXZRHDVF72345XB74YJ,as-colour-recycled-zip-wallet-1033,AS Colour Recycled Zip Wallet 1033,draft,1,0.38,0.38
prod_01KPJQCCXZVAK3K2HAE2TYMT3Z,as-colour-recycled-fold-wallet-1032,AS Colour Recycled Fold Wallet 1032,draft,1,0.38,0.38
prod_01KPJQCCXZWQVP8J688V4FH5S3,as-colour-recycled-messenger-bag-1027,AS Colour Recycled Messenger Bag 1027,draft,1,1.35,1.35
prod_01KPJQCCXZXJH8EQ0S4KR16NS9,as-colour-grocery-bag-1021,AS Colour Grocery Bag 1021,draft,1,0.23,0.23
prod_01KPJQCCY019FTRMNJHPPNNWDA,as-colour-canvas-apron-1080,AS Colour Canvas Apron 1080,draft,2,0.83,0.83
prod_01KPJQCCY01ZSAKK37N6S05ECT,as-colour-stock-faded-trucker-1102,AS Colour Stock Faded Trucker 1102,published,4,0.39,0.39
prod_01KPJQCCY02S7V5PRBR4KVHN92,as-colour-carrie-apron-1082,AS Colour Carrie Apron 1082,draft,5,0.75,0.75
prod_01KPJQCCY051PS914D3VMV5BVG,as-colour-carrie-half-apron-1083,AS Colour Carrie Half Apron 1083,draft,5,0.6,0.6
prod_01KPJQCCY06TESMK50PQ0ABQG7,as-colour-canvas-half-apron-1081,AS Colour Canvas Half Apron 1081,draft,2,0.75,0.75
prod_01KPJQCCY06Z8E6XGBV8FVBFJD,as-colour-area-pattern-duffel-bag-1035,AS Colour Area Pattern Duffel Bag 1035,draft,1,1.27,1.27
prod_01KPJQCCY084FQVXND899N8DE3,as-colour-recycled-gear-bag-1037,AS Colour Recycled Gear Bag 1037,draft,1,0.6,0.6
prod_01KPJQCCY08PXV5CJ4BJ2N13RE,as-colour-pocket-tote-bag-1041,AS Colour Pocket Tote Bag 1041,published,2,0.45,0.45
