customerGroupId,STYLECODE,PRODUCT_NAME,COMPOSITION,FABRIC,SIZE_RANGE,COLOURS_COUNT,SHORT_DESCRIPTION,BOX_QTY,PRICE,CATEGORY,CATEGORY_SORT,Product URL
3,1000,Parcel Tote,100% Cotton Canvas,320 GSM,,,Smaller Style,50,6.95,BAGS,41000,https://www.ascolour.com.au/parcel-tote-1000/
3,1001,Carrie Tote,100% Cotton Canvas,320 GSM,,,Large Style,50,7.95,BAGS,41000,https://www.ascolour.com.au/carrie-tote-1001/
3,1002,Shoulder Tote,100% Cotton Canvas,320 GSM,,,Wider Style,50,8.95,BAGS,41000,https://www.ascolour.com.au/shoulder-tote-1002/
3,1003,Duffel Bag,100% Recycled Polyester  PVC Coating,400 GSM,,,Cylinder Duffel - Large Volume,20,30.75,BAGS,41000,https://www.ascolour.com.au/duffel-bag-1003/
3,1004,Canvas Duffel Bag,100% Cotton Canvas,400 GSM,,,Cylinder Duffel - Large Volume,20,34.5,BAGS,41000,
3,1005,Gym Duffel Bag,100% Recycled Polyester,400 GSM,,,Cylinder Duffel - Mid Volume,20,26.95,BAGS,41000,
3,1007,Basic Tote,100% Cotton,200 GSM,,,Large Style,80,6.95,BAGS,41000,
3,1008,TwoTone Carrie Tote,100% Cotton Canvas,320 GSM,,,Large Style,50,12.75,BAGS,41000,
3,1009,Escape Travel Bag,100% Polyester,400 GSM,,,Rectangular Duffel - Large Volume,12,51.95,BAGS,41000,
3,1010,Recycled Camera Bag,100% Recycled Polyester,210 GSM,,,Tear-out pip label,100,10.75,BAGS,41000,
3,1011,Recycled Phone Bag,100% Recycled Polyester,210 GSM,,,Tear-out pip label,100,9.75,BAGS,41000,
3,1012,Carrie Denim Tote,100% Cotton,350 GSM,,,Large Style,50,12.75,BAGS,41000,
3,1013,Recycled Waist Bag,100% Recycled Polyester,210 GSM,,,Tear-out pip label,60,17.5,BAGS,41000,
3,1014,Waist Bag,100% Polyester  PU Coating,210 GSM,,,Small Style,60,11.25,BAGS,41000,
3,1018,Backpack,100% Recycled Polyester,210 GSM,,,Tear-out pip label,10,26.95,BAGS,41000,
3,1019,Recycled Pocket Waist Bag,100% Recycled Polyester,210 GSM,,,Tear-out pip label,40,20.5,BAGS,41000,
3,1021,Grocery Bag,100% Recycled Polyester Rip-Stop,80 GSM,,,Tear-out pip label,350,7.25,BAGS,41000,
3,1022,Recycled Toiletry Bag,100% Recycled Polyester,210 GSM,,,Tear-out pip label,52,13.95,BAGS,41000,
3,1024,Recycled Laptop Sleeve,100% Recycled Polyester,360 GSM,,,Tear-out pip label,18,20.5,BAGS,41000,
3,1025,Recycled Double Waist Bag,100% Recycled Polyester,360 GSM,,,Tear-out pip label,30,23.75,BAGS,41000,
3,1026,Recycled Transit Bag,100% Recycled Polyester,210 GSM,,,Tear-out pip label,45,15.95,BAGS,41000,
3,1027,Recycled Messenger Bag,100% Recycled Polyester,360 GSM,,,Tear-out pip label,10,39.5,BAGS,41000,
3,1028,Recycled Rucksack,100% Recycled Polyester,360 GSM,,,Tear-out pip label,10,37.5,BAGS,41000,
3,1029,Recycled Field Backpack,100% Recycled Polyester,360 GSM,,,Tear-out pip label,10,38.25,BAGS,41000,
3,1030,Recycled Travel Backpack,100% Recycled Polyester,360 GSM,,,Tear-out pip label,10,61.5,BAGS,41000,
3,1031,Recycled Strap Backpack,100% Recycled Polyester,360 GSM,,,Tear-out pip label,10,48.5,BAGS,41000,
3,1032,Recycled Fold Wallet,100% Recycled Polyester,350 GSM,,,Tear-out pip label,340,10.75,BAGS,41000,
3,1033,Recycled Zip Wallet,100% Recycled Polyester,350 GSM,,,Tear-out pip label,210,13.75,BAGS,41000,
3,1034,Recycled Long Wallet,100% Recycled Polyester,350 GSM,,,Tear-out pip label,140,16.25,BAGS,41000,
3,1035,Area Pattern Duffel Bag,100% Recycled Polyester  PVC Coating,350 GSM,,,Cylinder Duffel - Large Volume,10,36.95,BAGS,41000,
3,1036,Rain Duffel Bag,100% Recycled Polyester PU,350 GSM,,,Cylinder Duffel - Large Volume,10,46.5,BAGS,41000,
3,1037,Recycled Gear Bag,100% Recycled Polyester,210 GSM,,,Tear-out pip label,50,16.5,BAGS,41000,
3,1038,Recycled Light Duffel Bag,100% Recycled Polyester Rip-Stop,80 GSM,,,Tear-out pip label,30,20.25,BAGS,41000,
3,1040,Oversized Tote Bag,100% Cotton Canvas,320 GSM,,,Oversized,42,10.5,BAGS,41000,
3,1041,Pocket Tote Bag,100% Cotton Canvas,320 GSM,,,Large Style,42,13.95,BAGS,41000,
3,1080,Canvas Apron,100% Cotton Canvas,360 GSM,,,Heavy Weight - Duck Canvas,45,22.95,ACCESSORIES,60000,
3,1081,Canvas Half Apron,100% Cotton Canvas,355 GSM,,,Heavy Weight - Duck Canvas,48,20.95,ACCESSORIES,60000,
3,1082,Carrie Apron,100% Cotton Canvas,320 GSM,,,Heavy Weight - Cotton Canvas,60,18.95,ACCESSORIES,60000,
3,1083,Carrie Half Apron,100% Cotton Canvas,320 GSM,,,Heavy Weight - Cotton Canvas,75,14.95,ACCESSORIES,60000,
3,1084,Denim Apron,100% Cotton,350 GSM,,,Heavy Weight - 100% Cotton,42,23.95,ACCESSORIES,60000,
3,1085,Denim Half Apron,100% Cotton,350 GSM,,,Heavy Weight - Denim,60,18.95,ACCESSORIES,60000,
3,1086,Linen Apron,100% Linen,215 GSM,,,Mid Weight - 100% Linen,90,24.95,ACCESSORIES,60000,
3,1087,Linen Half Apron,100% Linen,215 GSM,,,Mid Weight - 100% Linen,90,18.95,ACCESSORIES,60000,
3,1100,Stock Cap,80% Acrylic  20% Wool ,,,,High Profile - Flat Peak,72,6.95,CAPS/HATS,30300,
3,1102,Stock Faded Trucker,100% Cotton Front & Peak  100% Recycled Polyester Mesh Back,,,,High Profile - Flat Peak,72,5.95,CAPS/HATS,30300,
3,1103,Finn Five Panel Cap,100% Cotton,,,,Low Profile - Flat Peak,72,6.75,CAPS/HATS,30300,
3,1104,Finn Nylon Cap,100% Recycled Nylon,,,,Low Profile - Flat Tonal Peak,72,6.95,CAPS/HATS,30300,
3,1105,Finn TwoTone Nylon Cap,100% Recycled Nylon,,,,Low Profile - Contrast Panels,72,6.95,CAPS/HATS,30300,
3,1106,Stock Flex Cap,97% Cotton  3% Spandex,,,,Flex Fit - Flat Peak,72,6.75,CAPS/HATS,30300,
3,1107,Cuff Beanie,100% Acrylic,,,,Relaxed Fit,100,6.95,BEANIES,30500,
3,1107F,Cuff Safety Beanie,100% Acrylic,,,,Mid Weight - Hi Vis,100,6.95,BEANIES,30500,
3,1108,Stock Trucker Cap,100% Cotton Front & Peak  100% Polyester Mesh Back,,,,High Profile - Flat Peak,72,6.75,CAPS/HATS,30300,
3,1110,Stock Contrast Trucker,100% Cotton Front & Peak  100% Polyester Mesh Back,,,,High Profile - Flat Peak,72,6.75,CAPS/HATS,30300,
