Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product Origin Country,Product Material,Product Collection Id,Product Type Id,Product Discountable,Product External Id,Product Created At,Product Deleted At,Product Hs Code,Product Image 1,Product Image 2,Product Is Giftcard,Product Mid Code,Product Sales Channel 1,Product Tag 1,Product Tag 2,Product Updated At,Variant Id,Variant Title,Variant Sku,Variant Upc,Variant Ean,Variant Hs Code,Variant Mid Code,Variant Manage Inventory,Variant Allow Backorder,Variant Barcode,Variant Created At,Variant Deleted At,Variant Height,Variant Length,Variant Material,Variant Metadata,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Origin Country,Variant Price AUD,Variant Product Id,Variant Updated At,Variant Variant Rank,Variant Weight,Variant Width
,ramo-womens-girls-cotton-care-half-zip-f380gl,Ramo Womens/Girls Cotton Care Half-Zip,All Products,"Outer layer:100% cotton for excellent screen printing results Inner layer: Polycotton brushed fleece inner Combined 350gsm 75% cotton 25% poly Raglan sleeve cut Half Zip High neck Easy tear away neck label 100% cotton jersey hood lining Generous fit Size 4 and 6 have shorter sleeves, hence more suitable for girls",published,https://bucket-production-17d1.up.railway.app/medusa-media/f380gl_natural_front-01KPTGNEZBHT75B1PD0HHW54Y1.jpg,,,,,,,,,true,,,,,https://bucket-production-17d1.up.railway.app/medusa-media/f380gl_natural_front-01KPTGNEZBHT75B1PD0HHW54Y1.jpg,https://bucket-production-17d1.up.railway.app/medusa-media/f380gl_1-01KPTGND1RCNXC67AYDE54WXVP.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,16 / Natural,F380GL_NT_16,,,,,true,false,F380GL_NT_16,,,,,,,Size,16,Colour,Natural,,29.00,,,21,,
,ramo-womens-girls-cotton-care-half-zip-f380gl,Ramo Womens/Girls Cotton Care Half-Zip,All Products,"Outer layer:100% cotton for excellent screen printing results Inner layer: Polycotton brushed fleece inner Combined 350gsm 75% cotton 25% poly Raglan sleeve cut Half Zip High neck Easy tear away neck label 100% cotton jersey hood lining Generous fit Size 4 and 6 have shorter sleeves, hence more suitable for girls",published,https://bucket-production-17d1.up.railway.app/medusa-media/f380gl_natural_front-01KPTGNEZBHT75B1PD0HHW54Y1.jpg,,,,,,,,,true,,,,,https://bucket-production-17d1.up.railway.app/medusa-media/f380gl_natural_front-01KPTGNEZBHT75B1PD0HHW54Y1.jpg,https://bucket-production-17d1.up.railway.app/medusa-media/f380gl_1-01KPTGND1RCNXC67AYDE54WXVP.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,18 / Natural,F380GL_NT_18,,,,,true,false,F380GL_NT_18,,,,,,,Size,18,Colour,Natural,,29.00,,,22,,
,ramo-womens-girls-cotton-care-half-zip-f380gl,Ramo Womens/Girls Cotton Care Half-Zip,All Products,"Outer layer:100% cotton for excellent screen printing results Inner layer: Polycotton brushed fleece inner Combined 350gsm 75% cotton 25% poly Raglan sleeve cut Half Zip High neck Easy tear away neck label 100% cotton jersey hood lining Generous fit Size 4 and 6 have shorter sleeves, hence more suitable for girls",published,https://bucket-production-17d1.up.railway.app/medusa-media/f380gl_natural_front-01KPTGNEZBHT75B1PD0HHW54Y1.jpg,,,,,,,,,true,,,,,https://bucket-production-17d1.up.railway.app/medusa-media/f380gl_natural_front-01KPTGNEZBHT75B1PD0HHW54Y1.jpg,https://bucket-production-17d1.up.railway.app/medusa-media/f380gl_1-01KPTGND1RCNXC67AYDE54WXVP.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,20 / Natural,F380GL_NT_20,,,,,true,false,F380GL_NT_20,,,,,,,Size,20,Colour,Natural,,29.00,,,23,,
,ramo-womens-girls-cotton-care-half-zip-f380gl,Ramo Womens/Girls Cotton Care Half-Zip,All Products,"Outer layer:100% cotton for excellent screen printing results Inner layer: Polycotton brushed fleece inner Combined 350gsm 75% cotton 25% poly Raglan sleeve cut Half Zip High neck Easy tear away neck label 100% cotton jersey hood lining Generous fit Size 4 and 6 have shorter sleeves, hence more suitable for girls",published,https://bucket-production-17d1.up.railway.app/medusa-media/f380gl_natural_front-01KPTGNEZBHT75B1PD0HHW54Y1.jpg,,,,,,,,,true,,,,,https://bucket-production-17d1.up.railway.app/medusa-media/f380gl_natural_front-01KPTGNEZBHT75B1PD0HHW54Y1.jpg,https://bucket-production-17d1.up.railway.app/medusa-media/f380gl_1-01KPTGND1RCNXC67AYDE54WXVP.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,22 / Natural,F380GL_NT_22,,,,,true,false,F380GL_NT_22,,,,,,,Size,22,Colour,Natural,,29.00,,,24,,
,ramo-womens-girls-cotton-care-half-zip-f380gl,Ramo Womens/Girls Cotton Care Half-Zip,All Products,"Outer layer:100% cotton for excellent screen printing results Inner layer: Polycotton brushed fleece inner Combined 350gsm 75% cotton 25% poly Raglan sleeve cut Half Zip High neck Easy tear away neck label 100% cotton jersey hood lining Generous fit Size 4 and 6 have shorter sleeves, hence more suitable for girls",published,https://bucket-production-17d1.up.railway.app/medusa-media/f380gl_natural_front-01KPTGNEZBHT75B1PD0HHW54Y1.jpg,,,,,,,,,true,,,,,https://bucket-production-17d1.up.railway.app/medusa-media/f380gl_natural_front-01KPTGNEZBHT75B1PD0HHW54Y1.jpg,https://bucket-production-17d1.up.railway.app/medusa-media/f380gl_1-01KPTGND1RCNXC67AYDE54WXVP.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,6 / Natural,F380GL_NT_6,,,,,true,false,F380GL_NT_6,,,,,,,Size,6,Colour,Natural,,29.00,,,25,,
,ramo-womens-girls-cotton-care-half-zip-f380gl,Ramo Womens/Girls Cotton Care Half-Zip,All Products,"Outer layer:100% cotton for excellent screen printing results Inner layer: Polycotton brushed fleece inner Combined 350gsm 75% cotton 25% poly Raglan sleeve cut Half Zip High neck Easy tear away neck label 100% cotton jersey hood lining Generous fit Size 4 and 6 have shorter sleeves, hence more suitable for girls",published,https://bucket-production-17d1.up.railway.app/medusa-media/f380gl_natural_front-01KPTGNEZBHT75B1PD0HHW54Y1.jpg,,,,,,,,,true,,,,,https://bucket-production-17d1.up.railway.app/medusa-media/f380gl_natural_front-01KPTGNEZBHT75B1PD0HHW54Y1.jpg,https://bucket-production-17d1.up.railway.app/medusa-media/f380gl_1-01KPTGND1RCNXC67AYDE54WXVP.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,8 / Natural,F380GL_NT_8,,,,,true,false,F380GL_NT_8,,,,,,,Size,8,Colour,Natural,,29.00,,,26,,
,ramo-womens-girls-cotton-care-half-zip-f380gl,Ramo Womens/Girls Cotton Care Half-Zip,All Products,"Outer layer:100% cotton for excellent screen printing results Inner layer: Polycotton brushed fleece inner Combined 350gsm 75% cotton 25% poly Raglan sleeve cut Half Zip High neck Easy tear away neck label 100% cotton jersey hood lining Generous fit Size 4 and 6 have shorter sleeves, hence more suitable for girls",published,https://bucket-production-17d1.up.railway.app/medusa-media/f380gl_navy_front-01KPTGNFSVC4BBG71B9X4CR595.jpg,,,,,,,,,true,,,,,https://bucket-production-17d1.up.railway.app/medusa-media/f380gl_navy_front-01KPTGNFSVC4BBG71B9X4CR595.jpg,https://bucket-production-17d1.up.railway.app/medusa-media/f380gl_1-01KPTGND1RCNXC67AYDE54WXVP.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,10 / Navy,F380GL_NA_10,,,,,true,false,F380GL_NA_10,,,,,,,Size,10,Colour,Navy,,29.00,,,27,,
,ramo-womens-girls-cotton-care-half-zip-f380gl,Ramo Womens/Girls Cotton Care Half-Zip,All Products,"Outer layer:100% cotton for excellent screen printing results Inner layer: Polycotton brushed fleece inner Combined 350gsm 75% cotton 25% poly Raglan sleeve cut Half Zip High neck Easy tear away neck label 100% cotton jersey hood lining Generous fit Size 4 and 6 have shorter sleeves, hence more suitable for girls",published,https://bucket-production-17d1.up.railway.app/medusa-media/f380gl_navy_front-01KPTGNFSVC4BBG71B9X4CR595.jpg,,,,,,,,,true,,,,,https://bucket-production-17d1.up.railway.app/medusa-media/f380gl_navy_front-01KPTGNFSVC4BBG71B9X4CR595.jpg,https://bucket-production-17d1.up.railway.app/medusa-media/f380gl_1-01KPTGND1RCNXC67AYDE54WXVP.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,12 / Navy,F380GL_NA_12,,,,,true,false,F380GL_NA_12,,,,,,,Size,12,Colour,Navy,,29.00,,,28,,
,ramo-womens-girls-cotton-care-half-zip-f380gl,Ramo Womens/Girls Cotton Care Half-Zip,All Products,"Outer layer:100% cotton for excellent screen printing results Inner layer: Polycotton brushed fleece inner Combined 350gsm 75% cotton 25% poly Raglan sleeve cut Half Zip High neck Easy tear away neck label 100% cotton jersey hood lining Generous fit Size 4 and 6 have shorter sleeves, hence more suitable for girls",published,https://bucket-production-17d1.up.railway.app/medusa-media/f380gl_navy_front-01KPTGNFSVC4BBG71B9X4CR595.jpg,,,,,,,,,true,,,,,https://bucket-production-17d1.up.railway.app/medusa-media/f380gl_navy_front-01KPTGNFSVC4BBG71B9X4CR595.jpg,https://bucket-production-17d1.up.railway.app/medusa-media/f380gl_1-01KPTGND1RCNXC67AYDE54WXVP.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,14 / Navy,F380GL_NA_14,,,,,true,false,F380GL_NA_14,,,,,,,Size,14,Colour,Navy,,29.00,,,29,,
,ramo-womens-girls-cotton-care-half-zip-f380gl,Ramo Womens/Girls Cotton Care Half-Zip,All Products,"Outer layer:100% cotton for excellent screen printing results Inner layer: Polycotton brushed fleece inner Combined 350gsm 75% cotton 25% poly Raglan sleeve cut Half Zip High neck Easy tear away neck label 100% cotton jersey hood lining Generous fit Size 4 and 6 have shorter sleeves, hence more suitable for girls",published,https://bucket-production-17d1.up.railway.app/medusa-media/f380gl_navy_front-01KPTGNFSVC4BBG71B9X4CR595.jpg,,,,,,,,,true,,,,,https://bucket-production-17d1.up.railway.app/medusa-media/f380gl_navy_front-01KPTGNFSVC4BBG71B9X4CR595.jpg,https://bucket-production-17d1.up.railway.app/medusa-media/f380gl_1-01KPTGND1RCNXC67AYDE54WXVP.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,16 / Navy,F380GL_NA_16,,,,,true,false,F380GL_NA_16,,,,,,,Size,16,Colour,Navy,,29.00,,,30,,
