Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product Origin Country,Product Material,Product Collection Id,Product Type Id,Product Discountable,Product External Id,Product Created At,Product Deleted At,Product Hs Code,Product Image 1,Product Image 2,Product Is Giftcard,Product Mid Code,Product Sales Channel 1,Product Tag 1,Product Tag 2,Product Updated At,Variant Id,Variant Title,Variant Sku,Variant Upc,Variant Ean,Variant Hs Code,Variant Mid Code,Variant Manage Inventory,Variant Allow Backorder,Variant Barcode,Variant Created At,Variant Deleted At,Variant Height,Variant Length,Variant Material,Variant Metadata,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Origin Country,Variant Price AUD,Variant Product Id,Variant Updated At,Variant Variant Rank,Variant Weight,Variant Width
,syzmik-knee-pad-za018,Syzmik Knee Pad ZA018,,Sizes: One Size; Fabric: 100% Polythene; Features: Compatible with selected pants for advanced knee protection;,published,https://cdn.fashionbizapps.nz/honeybee/images/ZA018_aTalent_Black_01_4T6RvoN.jpg,,,,,,100% Polythene,,,true,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZA018_aTalent_Black_01_4T6RvoN.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZA018_bProduct_Black_01_XrzMcNy.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,accessories,,,,FRE / Black,9401042316011,,,,,true,false,9401042316011,,,,,,,Size,FRE,Colour,Black,,7.95,,,0,,
,syzmik-mens-service-overall-zc503,Syzmik Mens Service Overall ZC503,,"Sizes: 3/77 - 12/122; Fabric: 65% Polyester 35% Cotton - 230gsm; Features: Strong poly-cotton fabric ideal for the toughest of jobs,Suitable for light industrial wash,Elasticated back waist,Two way zip and stud closure front placket,Heavy duty nickel plated studs,Two chest pockets with stud closures,Pen partition on arm,Mobile pocket,Adjustable cuff,Two back hip pockets,Two side hip access pockets;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_aTalent_Charcoal_01_QJKwkQt.jpg,,,,,,65% Polyester 35% Cotton - 230gsm,,,true,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_aTalent_Charcoal_01_QJKwkQt.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_bProduct_Charcoal_01_YEVdUa6.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,overalls,,,,102 / Charcoal,9401042315816,,,,,true,false,9401042315816,,,,,,,Size,102,Colour,Charcoal,,34.50,,,0,,
,syzmik-mens-service-overall-zc503,Syzmik Mens Service Overall ZC503,,"Sizes: 3/77 - 12/122; Fabric: 65% Polyester 35% Cotton - 230gsm; Features: Strong poly-cotton fabric ideal for the toughest of jobs,Suitable for light industrial wash,Elasticated back waist,Two way zip and stud closure front placket,Heavy duty nickel plated studs,Two chest pockets with stud closures,Pen partition on arm,Mobile pocket,Adjustable cuff,Two back hip pockets,Two side hip access pockets;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_aTalent_Charcoal_01_QJKwkQt.jpg,,,,,,65% Polyester 35% Cotton - 230gsm,,,true,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_aTalent_Charcoal_01_QJKwkQt.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_bProduct_Charcoal_01_YEVdUa6.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,overalls,,,,107 / Charcoal,9401042315823,,,,,true,false,9401042315823,,,,,,,Size,107,Colour,Charcoal,,34.50,,,1,,
,syzmik-mens-service-overall-zc503,Syzmik Mens Service Overall ZC503,,"Sizes: 3/77 - 12/122; Fabric: 65% Polyester 35% Cotton - 230gsm; Features: Strong poly-cotton fabric ideal for the toughest of jobs,Suitable for light industrial wash,Elasticated back waist,Two way zip and stud closure front placket,Heavy duty nickel plated studs,Two chest pockets with stud closures,Pen partition on arm,Mobile pocket,Adjustable cuff,Two back hip pockets,Two side hip access pockets;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_aTalent_Charcoal_01_QJKwkQt.jpg,,,,,,65% Polyester 35% Cotton - 230gsm,,,true,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_aTalent_Charcoal_01_QJKwkQt.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_bProduct_Charcoal_01_YEVdUa6.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,overalls,,,,112 / Charcoal,9401042315830,,,,,true,false,9401042315830,,,,,,,Size,112,Colour,Charcoal,,34.50,,,2,,
,syzmik-mens-service-overall-zc503,Syzmik Mens Service Overall ZC503,,"Sizes: 3/77 - 12/122; Fabric: 65% Polyester 35% Cotton - 230gsm; Features: Strong poly-cotton fabric ideal for the toughest of jobs,Suitable for light industrial wash,Elasticated back waist,Two way zip and stud closure front placket,Heavy duty nickel plated studs,Two chest pockets with stud closures,Pen partition on arm,Mobile pocket,Adjustable cuff,Two back hip pockets,Two side hip access pockets;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_aTalent_Charcoal_01_QJKwkQt.jpg,,,,,,65% Polyester 35% Cotton - 230gsm,,,true,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_aTalent_Charcoal_01_QJKwkQt.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_bProduct_Charcoal_01_YEVdUa6.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,overalls,,,,117 / Charcoal,9401042315847,,,,,true,false,9401042315847,,,,,,,Size,117,Colour,Charcoal,,34.50,,,3,,
,syzmik-mens-service-overall-zc503,Syzmik Mens Service Overall ZC503,,"Sizes: 3/77 - 12/122; Fabric: 65% Polyester 35% Cotton - 230gsm; Features: Strong poly-cotton fabric ideal for the toughest of jobs,Suitable for light industrial wash,Elasticated back waist,Two way zip and stud closure front placket,Heavy duty nickel plated studs,Two chest pockets with stud closures,Pen partition on arm,Mobile pocket,Adjustable cuff,Two back hip pockets,Two side hip access pockets;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_aTalent_Charcoal_01_QJKwkQt.jpg,,,,,,65% Polyester 35% Cotton - 230gsm,,,true,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_aTalent_Charcoal_01_QJKwkQt.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_bProduct_Charcoal_01_YEVdUa6.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,overalls,,,,122 / Charcoal,9401042315854,,,,,true,false,9401042315854,,,,,,,Size,122,Colour,Charcoal,,34.50,,,4,,
,syzmik-mens-service-overall-zc503,Syzmik Mens Service Overall ZC503,,"Sizes: 3/77 - 12/122; Fabric: 65% Polyester 35% Cotton - 230gsm; Features: Strong poly-cotton fabric ideal for the toughest of jobs,Suitable for light industrial wash,Elasticated back waist,Two way zip and stud closure front placket,Heavy duty nickel plated studs,Two chest pockets with stud closures,Pen partition on arm,Mobile pocket,Adjustable cuff,Two back hip pockets,Two side hip access pockets;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_aTalent_Charcoal_01_QJKwkQt.jpg,,,,,,65% Polyester 35% Cotton - 230gsm,,,true,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_aTalent_Charcoal_01_QJKwkQt.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_bProduct_Charcoal_01_YEVdUa6.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,overalls,,,,72 / Charcoal,9401042316240,,,,,true,false,9401042316240,,,,,,,Size,72,Colour,Charcoal,,34.50,,,5,,
,syzmik-mens-service-overall-zc503,Syzmik Mens Service Overall ZC503,,"Sizes: 3/77 - 12/122; Fabric: 65% Polyester 35% Cotton - 230gsm; Features: Strong poly-cotton fabric ideal for the toughest of jobs,Suitable for light industrial wash,Elasticated back waist,Two way zip and stud closure front placket,Heavy duty nickel plated studs,Two chest pockets with stud closures,Pen partition on arm,Mobile pocket,Adjustable cuff,Two back hip pockets,Two side hip access pockets;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_aTalent_Charcoal_01_QJKwkQt.jpg,,,,,,65% Polyester 35% Cotton - 230gsm,,,true,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_aTalent_Charcoal_01_QJKwkQt.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_bProduct_Charcoal_01_YEVdUa6.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,overalls,,,,77 / Charcoal,9401042315861,,,,,true,false,9401042315861,,,,,,,Size,77,Colour,Charcoal,,34.50,,,6,,
,syzmik-mens-service-overall-zc503,Syzmik Mens Service Overall ZC503,,"Sizes: 3/77 - 12/122; Fabric: 65% Polyester 35% Cotton - 230gsm; Features: Strong poly-cotton fabric ideal for the toughest of jobs,Suitable for light industrial wash,Elasticated back waist,Two way zip and stud closure front placket,Heavy duty nickel plated studs,Two chest pockets with stud closures,Pen partition on arm,Mobile pocket,Adjustable cuff,Two back hip pockets,Two side hip access pockets;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_aTalent_Charcoal_01_QJKwkQt.jpg,,,,,,65% Polyester 35% Cotton - 230gsm,,,true,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_aTalent_Charcoal_01_QJKwkQt.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_bProduct_Charcoal_01_YEVdUa6.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,overalls,,,,82 / Charcoal,9401042315878,,,,,true,false,9401042315878,,,,,,,Size,82,Colour,Charcoal,,34.50,,,7,,
,syzmik-mens-service-overall-zc503,Syzmik Mens Service Overall ZC503,,"Sizes: 3/77 - 12/122; Fabric: 65% Polyester 35% Cotton - 230gsm; Features: Strong poly-cotton fabric ideal for the toughest of jobs,Suitable for light industrial wash,Elasticated back waist,Two way zip and stud closure front placket,Heavy duty nickel plated studs,Two chest pockets with stud closures,Pen partition on arm,Mobile pocket,Adjustable cuff,Two back hip pockets,Two side hip access pockets;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_aTalent_Charcoal_01_QJKwkQt.jpg,,,,,,65% Polyester 35% Cotton - 230gsm,,,true,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_aTalent_Charcoal_01_QJKwkQt.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_bProduct_Charcoal_01_YEVdUa6.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,overalls,,,,87 / Charcoal,9401042315885,,,,,true,false,9401042315885,,,,,,,Size,87,Colour,Charcoal,,34.50,,,8,,
,syzmik-mens-service-overall-zc503,Syzmik Mens Service Overall ZC503,,"Sizes: 3/77 - 12/122; Fabric: 65% Polyester 35% Cotton - 230gsm; Features: Strong poly-cotton fabric ideal for the toughest of jobs,Suitable for light industrial wash,Elasticated back waist,Two way zip and stud closure front placket,Heavy duty nickel plated studs,Two chest pockets with stud closures,Pen partition on arm,Mobile pocket,Adjustable cuff,Two back hip pockets,Two side hip access pockets;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_aTalent_Charcoal_01_QJKwkQt.jpg,,,,,,65% Polyester 35% Cotton - 230gsm,,,true,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_aTalent_Charcoal_01_QJKwkQt.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_bProduct_Charcoal_01_YEVdUa6.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,overalls,,,,92 / Charcoal,9401042315892,,,,,true,false,9401042315892,,,,,,,Size,92,Colour,Charcoal,,34.50,,,9,,
