Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product Origin Country,Product Material,Product Collection Id,Product Type Id,Product Discountable,Product External Id,Product Created At,Product Deleted At,Product Hs Code,Product Image 1,Product Image 2,Product Is Giftcard,Product Mid Code,Product Sales Channel 1,Product Tag 1,Product Tag 2,Product Updated At,Variant Id,Variant Title,Variant Sku,Variant Upc,Variant Ean,Variant Hs Code,Variant Mid Code,Variant Manage Inventory,Variant Allow Backorder,Variant Barcode,Variant Created At,Variant Deleted At,Variant Height,Variant Length,Variant Material,Variant Metadata,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Origin Country,Variant Price AUD,Variant Product Id,Variant Updated At,Variant Variant Rank,Variant Weight,Variant Width
,syzmik-mens-streetworx-stretch-pant-zp320,Syzmik Mens Streetworx Stretch Pant ZP320,,"Sizes: 72R - 132R; Fabric: 97% Cotton, 3% Spandex, 260 GSM; Panel: 94% Polyester, 6% Spandex; Features: Contrast 4-way stretch panel at back of knee and in crotch to increase movement and durability, Soft stretch cotton provides increased freedom of movement and comfort, Lightweight fabric to keep you cool, Unique stretch pleating front pockets and above knee, Modern slim fit, 2 Large pockets with black bonded zips and Syzmik rubber zipper heads, 1 Ruler pocket, 2 Back hip pockets with quick tape closures, 2 Side waist pockets, Button with strong fabric attachment method;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZP320_bProduct_Navy_01_cJgZDZJ.jpg,,,,,,"97% Cotton, 3% Spandex, 260 GSM",,,true,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZP320_bProduct_Navy_01_cJgZDZJ.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZP320_bProduct_Navy_02_mFhbF6g.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,streetworx,,,,117 / Navy,9401042474094,,,,,true,false,9401042474094,,,,,,,Size,117,Colour,Navy,,45.95,,,42,,
,syzmik-mens-streetworx-stretch-pant-zp320,Syzmik Mens Streetworx Stretch Pant ZP320,,"Sizes: 72R - 132R; Fabric: 97% Cotton, 3% Spandex, 260 GSM; Panel: 94% Polyester, 6% Spandex; Features: Contrast 4-way stretch panel at back of knee and in crotch to increase movement and durability, Soft stretch cotton provides increased freedom of movement and comfort, Lightweight fabric to keep you cool, Unique stretch pleating front pockets and above knee, Modern slim fit, 2 Large pockets with black bonded zips and Syzmik rubber zipper heads, 1 Ruler pocket, 2 Back hip pockets with quick tape closures, 2 Side waist pockets, Button with strong fabric attachment method;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZP320_bProduct_Navy_01_cJgZDZJ.jpg,,,,,,"97% Cotton, 3% Spandex, 260 GSM",,,true,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZP320_bProduct_Navy_01_cJgZDZJ.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZP320_bProduct_Navy_02_mFhbF6g.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,streetworx,,,,122 / Navy,9401042474100,,,,,true,false,9401042474100,,,,,,,Size,122,Colour,Navy,,45.95,,,43,,
,syzmik-mens-streetworx-stretch-pant-zp320,Syzmik Mens Streetworx Stretch Pant ZP320,,"Sizes: 72R - 132R; Fabric: 97% Cotton, 3% Spandex, 260 GSM; Panel: 94% Polyester, 6% Spandex; Features: Contrast 4-way stretch panel at back of knee and in crotch to increase movement and durability, Soft stretch cotton provides increased freedom of movement and comfort, Lightweight fabric to keep you cool, Unique stretch pleating front pockets and above knee, Modern slim fit, 2 Large pockets with black bonded zips and Syzmik rubber zipper heads, 1 Ruler pocket, 2 Back hip pockets with quick tape closures, 2 Side waist pockets, Button with strong fabric attachment method;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZP320_bProduct_Navy_01_cJgZDZJ.jpg,,,,,,"97% Cotton, 3% Spandex, 260 GSM",,,true,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZP320_bProduct_Navy_01_cJgZDZJ.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZP320_bProduct_Navy_02_mFhbF6g.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,streetworx,,,,127 / Navy,9401042474117,,,,,true,false,9401042474117,,,,,,,Size,127,Colour,Navy,,45.95,,,44,,
,syzmik-mens-streetworx-stretch-pant-zp320,Syzmik Mens Streetworx Stretch Pant ZP320,,"Sizes: 72R - 132R; Fabric: 97% Cotton, 3% Spandex, 260 GSM; Panel: 94% Polyester, 6% Spandex; Features: Contrast 4-way stretch panel at back of knee and in crotch to increase movement and durability, Soft stretch cotton provides increased freedom of movement and comfort, Lightweight fabric to keep you cool, Unique stretch pleating front pockets and above knee, Modern slim fit, 2 Large pockets with black bonded zips and Syzmik rubber zipper heads, 1 Ruler pocket, 2 Back hip pockets with quick tape closures, 2 Side waist pockets, Button with strong fabric attachment method;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZP320_bProduct_Navy_01_cJgZDZJ.jpg,,,,,,"97% Cotton, 3% Spandex, 260 GSM",,,true,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZP320_bProduct_Navy_01_cJgZDZJ.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZP320_bProduct_Navy_02_mFhbF6g.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,streetworx,,,,132 / Navy,9401042474124,,,,,true,false,9401042474124,,,,,,,Size,132,Colour,Navy,,45.95,,,45,,
,syzmik-mens-streetworx-stretch-pant-zp320,Syzmik Mens Streetworx Stretch Pant ZP320,,"Sizes: 72R - 132R; Fabric: 97% Cotton, 3% Spandex, 260 GSM; Panel: 94% Polyester, 6% Spandex; Features: Contrast 4-way stretch panel at back of knee and in crotch to increase movement and durability, Soft stretch cotton provides increased freedom of movement and comfort, Lightweight fabric to keep you cool, Unique stretch pleating front pockets and above knee, Modern slim fit, 2 Large pockets with black bonded zips and Syzmik rubber zipper heads, 1 Ruler pocket, 2 Back hip pockets with quick tape closures, 2 Side waist pockets, Button with strong fabric attachment method;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZP320_bProduct_Navy_01_cJgZDZJ.jpg,,,,,,"97% Cotton, 3% Spandex, 260 GSM",,,true,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZP320_bProduct_Navy_01_cJgZDZJ.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZP320_bProduct_Navy_02_mFhbF6g.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,streetworx,,,,72 / Navy,9401042474131,,,,,true,false,9401042474131,,,,,,,Size,72,Colour,Navy,,45.95,,,46,,
,syzmik-mens-streetworx-stretch-pant-zp320,Syzmik Mens Streetworx Stretch Pant ZP320,,"Sizes: 72R - 132R; Fabric: 97% Cotton, 3% Spandex, 260 GSM; Panel: 94% Polyester, 6% Spandex; Features: Contrast 4-way stretch panel at back of knee and in crotch to increase movement and durability, Soft stretch cotton provides increased freedom of movement and comfort, Lightweight fabric to keep you cool, Unique stretch pleating front pockets and above knee, Modern slim fit, 2 Large pockets with black bonded zips and Syzmik rubber zipper heads, 1 Ruler pocket, 2 Back hip pockets with quick tape closures, 2 Side waist pockets, Button with strong fabric attachment method;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZP320_bProduct_Navy_01_cJgZDZJ.jpg,,,,,,"97% Cotton, 3% Spandex, 260 GSM",,,true,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZP320_bProduct_Navy_01_cJgZDZJ.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZP320_bProduct_Navy_02_mFhbF6g.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,streetworx,,,,77 / Navy,9401042474148,,,,,true,false,9401042474148,,,,,,,Size,77,Colour,Navy,,45.95,,,47,,
,syzmik-mens-streetworx-stretch-pant-zp320,Syzmik Mens Streetworx Stretch Pant ZP320,,"Sizes: 72R - 132R; Fabric: 97% Cotton, 3% Spandex, 260 GSM; Panel: 94% Polyester, 6% Spandex; Features: Contrast 4-way stretch panel at back of knee and in crotch to increase movement and durability, Soft stretch cotton provides increased freedom of movement and comfort, Lightweight fabric to keep you cool, Unique stretch pleating front pockets and above knee, Modern slim fit, 2 Large pockets with black bonded zips and Syzmik rubber zipper heads, 1 Ruler pocket, 2 Back hip pockets with quick tape closures, 2 Side waist pockets, Button with strong fabric attachment method;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZP320_bProduct_Navy_01_cJgZDZJ.jpg,,,,,,"97% Cotton, 3% Spandex, 260 GSM",,,true,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZP320_bProduct_Navy_01_cJgZDZJ.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZP320_bProduct_Navy_02_mFhbF6g.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,streetworx,,,,82 / Navy,9401042474155,,,,,true,false,9401042474155,,,,,,,Size,82,Colour,Navy,,45.95,,,48,,
,syzmik-mens-streetworx-stretch-pant-zp320,Syzmik Mens Streetworx Stretch Pant ZP320,,"Sizes: 72R - 132R; Fabric: 97% Cotton, 3% Spandex, 260 GSM; Panel: 94% Polyester, 6% Spandex; Features: Contrast 4-way stretch panel at back of knee and in crotch to increase movement and durability, Soft stretch cotton provides increased freedom of movement and comfort, Lightweight fabric to keep you cool, Unique stretch pleating front pockets and above knee, Modern slim fit, 2 Large pockets with black bonded zips and Syzmik rubber zipper heads, 1 Ruler pocket, 2 Back hip pockets with quick tape closures, 2 Side waist pockets, Button with strong fabric attachment method;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZP320_bProduct_Navy_01_cJgZDZJ.jpg,,,,,,"97% Cotton, 3% Spandex, 260 GSM",,,true,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZP320_bProduct_Navy_01_cJgZDZJ.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZP320_bProduct_Navy_02_mFhbF6g.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,streetworx,,,,87 / Navy,9401042474162,,,,,true,false,9401042474162,,,,,,,Size,87,Colour,Navy,,45.95,,,49,,
,syzmik-mens-streetworx-stretch-pant-zp320,Syzmik Mens Streetworx Stretch Pant ZP320,,"Sizes: 72R - 132R; Fabric: 97% Cotton, 3% Spandex, 260 GSM; Panel: 94% Polyester, 6% Spandex; Features: Contrast 4-way stretch panel at back of knee and in crotch to increase movement and durability, Soft stretch cotton provides increased freedom of movement and comfort, Lightweight fabric to keep you cool, Unique stretch pleating front pockets and above knee, Modern slim fit, 2 Large pockets with black bonded zips and Syzmik rubber zipper heads, 1 Ruler pocket, 2 Back hip pockets with quick tape closures, 2 Side waist pockets, Button with strong fabric attachment method;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZP320_bProduct_Navy_01_cJgZDZJ.jpg,,,,,,"97% Cotton, 3% Spandex, 260 GSM",,,true,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZP320_bProduct_Navy_01_cJgZDZJ.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZP320_bProduct_Navy_02_mFhbF6g.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,streetworx,,,,92 / Navy,9401042474179,,,,,true,false,9401042474179,,,,,,,Size,92,Colour,Navy,,45.95,,,50,,
,syzmik-mens-streetworx-stretch-pant-zp320,Syzmik Mens Streetworx Stretch Pant ZP320,,"Sizes: 72R - 132R; Fabric: 97% Cotton, 3% Spandex, 260 GSM; Panel: 94% Polyester, 6% Spandex; Features: Contrast 4-way stretch panel at back of knee and in crotch to increase movement and durability, Soft stretch cotton provides increased freedom of movement and comfort, Lightweight fabric to keep you cool, Unique stretch pleating front pockets and above knee, Modern slim fit, 2 Large pockets with black bonded zips and Syzmik rubber zipper heads, 1 Ruler pocket, 2 Back hip pockets with quick tape closures, 2 Side waist pockets, Button with strong fabric attachment method;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZP320_bProduct_Navy_01_cJgZDZJ.jpg,,,,,,"97% Cotton, 3% Spandex, 260 GSM",,,true,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZP320_bProduct_Navy_01_cJgZDZJ.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZP320_bProduct_Navy_02_mFhbF6g.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,streetworx,,,,97 / Navy,9401042474186,,,,,true,false,9401042474186,,,,,,,Size,97,Colour,Navy,,45.95,,,51,,
